,index,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all,month,year,median_income,median_age,pop,pop_density,over60,casesper100k,casesper100klog,region,pct_min,new_cases_per100k
53,14989,2020-12-26,Valdez-Cordova Census Area,Alaska,2261.0,324,2.0,0.0,,,,-0.119,12,2020,36760.0,39.8,9636,0.2814262,14.746782897467828,3362.3910336239105,3.5266482188803066,AK,4.0992112909921135,
54,15270,2020-12-26,Apache,Arizona,4001.0,7192,225.0,42.0,,,,0.132,12,2020,20596.0,32.4,71518,6.38695,16.70628373276658,10056.209625548814,4.0024343178074,AZ,5.995693391873376,
55,15551,2020-12-26,Cochise,Arizona,4003.0,7052,119.0,158.0,,,0.0518,-0.00372,12,2020,25573.0,39.7,131346,21.30272,23.837802445449423,5369.025322430832,3.729895452271311,AZ,36.550789517762254,
56,15835,2020-12-26,Coconino,Arizona,4005.0,10671,203.0,126.0,,,-0.389,0.116,12,2020,25094.0,31.0,134421,7.219605,13.842331183371645,7938.491753520656,3.899737997975733,AZ,14.726121662537848,
57,16109,2020-12-26,Gila,Arizona,4007.0,4250,126.0,22.0,,,-0.027,-0.0113,12,2020,24681.0,47.9,53597,11.26477,31.645427915741553,7929.54829561356,3.899248448564787,AZ,18.32378677911077,
58,16397,2020-12-26,Graham,Arizona,4009.0,3086,48.0,28.0,,,,-0.0711,12,2020,24123.0,31.6,37220,8.051751,15.988715744223535,8291.24126813541,3.9186195529323813,AZ,32.24879097259538,
59,16673,2020-12-26,La Paz,Arizona,4012.0,1316,33.0,10.0,,,,-0.0413,12,2020,20561.0,53.9,20489,4.5534870000000005,41.563765923178295,6422.95866074479,3.807735126829888,AZ,24.08609497779296,
60,17009,2020-12-26,Maricopa,Arizona,4013.0,302859,4906.0,3803.0,,,-0.463,0.0692,12,2020,32158.0,34.6,3817117,414.8976,17.093764744439326,7934.234135343507,3.899505012143598,AZ,34.56168621501516,
61,17285,2020-12-26,Mohave,Arizona,4015.0,11349,325.0,151.0,,,-0.314,0.0472,12,2020,24105.0,47.6,200186,15.03905,31.55315556532425,5669.227618314967,3.7535238941745424,AZ,15.710888873347788,
62,17570,2020-12-26,Navajo,Arizona,4017.0,10874,324.0,7.0,,,-0.245,0.13,12,2020,21256.0,34.7,107449,10.79844,19.009948905992612,10120.150024662864,4.005186950685627,AZ,11.641802157302536,
63,17863,2020-12-26,Pima,Arizona,4019.0,65648,983.0,933.0,,,-0.327,0.124,12,2020,27279.0,37.7,980263,106.7007,21.396502775275614,6696.978259915962,3.8258788891088154,AZ,38.09957123751483,
64,18159,2020-12-26,Pinal,Arizona,4021.0,25847,346.0,358.0,,,-0.191,-0.0155,12,2020,28080.0,35.3,375770,70.03302,19.72616228011816,6878.409665486867,3.837488038040532,AZ,33.05000399180349,
65,18442,2020-12-26,Santa Cruz,Arizona,4023.0,5748,93.0,54.0,,,,0.0825,12,2020,22538.0,35.6,47420,38.33727,18.711514129059466,12121.467735132856,4.083555209820019,AZ,83.19696330662168,
66,18725,2020-12-26,Yavapai,Arizona,4025.0,10446,192.0,99.0,,,-0.329,-0.0113,12,2020,26689.0,49.2,211033,25.97809,32.802452696971564,4949.9367397516025,3.6945996486805672,AZ,14.21341685897466,
67,19007,2020-12-26,Yuma,Arizona,4027.0,26563,498.0,489.0,,,-0.354,0.0063,12,2020,24291.0,33.8,195751,35.50077,20.442296591077444,13569.790192642695,4.132573132930044,AZ,61.733017966702604,
68,19280,2020-12-26,Arkansas,Arkansas,5001.0,1246,29.0,3.0,,,,0.0187,12,2020,25843.0,40.7,19019,19.23501,22.75619117724381,6551.343393448657,3.8163303638910033,AR,27.204374572795626,
69,19553,2020-12-26,Ashley,Arkansas,5003.0,1228,19.0,6.0,,,,0.168,12,2020,23462.0,40.3,21853,23.61596,22.765752985860065,5619.365762137922,3.749687301058841,AR,30.70059030796687,
70,19828,2020-12-26,Baxter,Arkansas,5005.0,1947,61.0,6.0,,,-0.21,0.103,12,2020,23819.0,50.6,41513,74.89489,36.47291209982415,4690.097078023751,3.671181832057023,AR,1.8187073928648856,
71,20111,2020-12-26,Benton,Arkansas,5007.0,16840,248.0,57.0,,,-0.137,0.404,12,2020,33141.0,34.3,221339,261.211,16.86733923980862,7608.2389456896435,3.88128414367238,AR,16.760263667948262,
72,20381,2020-12-26,Carroll,Arkansas,5015.0,1999,30.0,6.0,,,,-0.0556,12,2020,24466.0,44.0,27446,43.55907,26.462872549734026,7283.392844130291,3.8623337351138005,AR,13.087517306711362,
73,20667,2020-12-26,Cleburne,Arkansas,5023.0,1128,35.0,8.0,,,,0.178,12,2020,24984.0,46.8,25970,46.90333,31.02425876010781,4343.473238351944,3.637837150018021,AR,2.268001540238737,
74,20950,2020-12-26,Craighead,Arkansas,5031.0,9596,129.0,19.0,,,-0.425,0.0469,12,2020,25852.0,33.2,96443,136.3718,17.134473212156404,9949.91860477173,3.9978195280177777,AR,17.54093091255975,
75,21228,2020-12-26,Crawford,Arkansas,5033.0,4223,58.0,9.0,,,-0.0771,0.264,12,2020,25758.0,37.6,61948,104.4489,19.040162717117585,6817.007813004456,3.833593791745673,AR,7.2399431781494155,
76,21512,2020-12-26,Faulkner,Arkansas,5045.0,7078,84.0,37.0,,,-0.435,0.141,12,2020,27130.0,31.5,113237,174.7796,14.53853422467921,6250.607133710713,3.7959222032663633,AR,14.132306578238563,
77,21799,2020-12-26,Garland,Arkansas,5051.0,5416,141.0,47.0,,,-0.223,-0.00527,12,2020,24589.0,44.4,96024,141.6741,28.14712988419561,5640.256602516038,3.7512988625864847,AR,12.743689077730568,
78,22082,2020-12-26,Independence,Arkansas,5063.0,2642,87.0,16.0,,,-0.543,-0.156,12,2020,22541.0,39.0,36647,47.97023,21.649793980407672,7209.3213632766665,3.857894385100069,AR,7.806914617840479,
79,22340,2020-12-26,Jackson,Arkansas,5067.0,2750,19.0,5.0,,,,-0.0903,12,2020,19012.0,40.5,17997,28.3892,22.02033672278713,15280.32449852753,4.184132577173145,AR,19.092070900705675,
80,22631,2020-12-26,Jefferson,Arkansas,5069.0,6511,125.0,3.0,,,-0.162,0.304,12,2020,24282.0,37.4,77435,88.92953,19.03531994576096,8408.34248079034,3.9247103926596054,AR,56.638470975657,
81,22907,2020-12-26,Lonoke,Arkansas,5085.0,3883,77.0,13.0,,,,0.0785,12,2020,30896.0,35.3,68356,88.69014,16.156591959740187,5680.554742817017,3.754390749439917,AR,9.247176546316343,
82,23178,2020-12-26,Miller,Arkansas,5091.0,2648,24.0,15.0,,,,0.287,12,2020,24076.0,37.2,43462,69.47494,19.504394643596708,6092.678661819521,3.7848082733027497,AR,26.931572408080623,
83,23461,2020-12-26,Pope,Arkansas,5115.0,5180,51.0,9.0,,,-0.0819,-0.0628,12,2020,21502.0,35.1,61754,76.0004,18.50244518573696,8388.120607571978,3.9236646662885875,AR,9.638242057194676,
84,23751,2020-12-26,Pulaski,Arkansas,5119.0,23081,361.0,66.0,,,-0.161,0.25,12,2020,30084.0,36.0,382748,503.7728,17.509170524731676,6030.338499482688,3.7803416909679104,AR,40.76468067762601,
85,24038,2020-12-26,Saline,Arkansas,5125.0,7153,91.0,35.0,,,-0.214,0.0732,12,2020,31869.0,38.8,107118,148.0341,20.935790436714647,6677.682555686252,3.82462576967633,AR,8.477566795496553,
86,24321,2020-12-26,Sebastian,Arkansas,5131.0,9042,146.0,24.0,,,-0.357,-0.0434,12,2020,25248.0,36.7,125744,236.4003,18.47563303219239,7190.800356279426,3.856777231268989,AR,18.660134877210844,
87,24605,2020-12-26,Washington,Arkansas,5143.0,20477,215.0,63.0,,,-0.35,0.0943,12,2020,27431.0,30.7,203065,215.5756,13.964494127496124,10083.963262994608,4.003631254823945,AR,18.449265013665574,
88,24883,2020-12-26,White,Arkansas,5145.0,4343,67.0,14.0,,,-0.0309,0.0838,12,2020,23470.0,36.0,77076,74.46415,19.51580258446209,5634.698219938761,3.7508706613005036,AR,7.723545591364367,
89,25184,2020-12-26,Alameda,California,6001.0,48386,625.0,838.0,,,-0.382,-0.0465,12,2020,43583.0,36.6,1510271,2043.62,16.32819540334152,3203.7958750449425,3.5056648378848436,CA,35.11555210952207,
90,25466,2020-12-26,Amador,California,6005.0,2171,23.0,27.0,,,,0.0813,12,2020,31160.0,48.2,38091,64.06338000000001,29.550287469480978,5699.509070384081,3.7558374491452433,CA,15.011420020477278,
91,25747,2020-12-26,Butte,California,6007.0,6873,83.0,157.0,,,-0.412,-0.0535,12,2020,24067.0,37.2,220000,134.4362,21.55909090909091,3124.090909090909,3.494723663086854,CA,15.695909090909092,
92,26025,2020-12-26,Calaveras,California,6009.0,1062,22.0,30.0,,,,0.0877,12,2020,29124.0,49.2,45578,44.68377,30.255825178814334,2330.0715257361007,3.367369252680837,CA,11.15889244811093,
93,26300,2020-12-26,Colusa,California,6011.0,1219,8.0,5.0,,,,-0.0113,12,2020,27103.0,33.5,21419,18.61339,16.676782296092256,5691.208739903824,3.7552045147817332,CA,56.02035575890565,
94,26599,2020-12-26,Contra Costa,California,6013.0,38138,321.0,528.0,,,-0.479,-0.119,12,2020,42181.0,38.5,1049025,1465.247,18.09260980434213,3635.5663592383403,3.5605720761392887,CA,33.62369819594385,
95,26880,2020-12-26,El Dorado,California,6017.0,5170,13.0,128.0,,,-0.436,-0.0376,12,2020,36682.0,43.6,181058,106.0131,21.812899733786963,2855.43858873952,3.4556728243297696,CA,12.859967524218757,
96,27175,2020-12-26,Fresno,California,6019.0,62251,646.0,816.0,,,-0.279,0.000828,12,2020,25238.0,30.6,930450,156.1684,14.33370949540545,6690.4186146488255,3.8254532921092728,CA,55.62824439787201,
97,27449,2020-12-26,Glenn,California,6021.0,1390,14.0,27.0,,,,0.214,12,2020,24329.0,35.3,28122,21.40269,18.38773913661901,4942.749448830097,3.693968596350241,CA,38.29741839129506,
98,27760,2020-12-26,Humboldt,California,6023.0,1584,18.0,45.0,,,-0.436,-0.0539,12,2020,25114.0,37.1,134623,37.73079,19.87698981600469,1176.619151259443,3.0706359129096708,CA,10.931267316877502,
99,28042,2020-12-26,Imperial,California,6025.0,21646,405.0,101.0,,,-0.256,0.111,12,2020,18245.0,31.9,174528,41.78706,14.621722588925559,12402.594426109277,4.093512542185312,CA,83.67940960762745,
100,28319,2020-12-26,Inyo,California,6027.0,546,20.0,14.0,,,,0.404,12,2020,31566.0,45.6,18546,1.82165,26.28059959020813,2944.0310579100615,3.4689423872577887,CA,19.982745605521405,
101,28604,2020-12-26,Kern,California,6029.0,63557,485.0,513.0,,,-0.387,-0.0927,12,2020,25013.0,30.7,839631,103.2513,13.040133106090654,7569.634756220292,3.879074924786084,CA,55.018692735261084,
102,28879,2020-12-26,Kings,California,6031.0,15548,110.0,57.0,,,-0.0641,-0.112,12,2020,26841.0,31.1,152982,110.1049,11.526192623968832,10163.287184113164,4.007034197615823,CA,58.09833836660523,
103,29144,2020-12-26,Lake,California,6033.0,1669,23.0,40.0,,,-0.343,-0.00321,12,2020,25172.0,45.0,64665,51.46585,25.666125415603496,2580.9943555246273,3.4117870547696776,CA,19.05203742364494,
104,29362,2020-12-26,Lassen,California,6035.0,4180,8.0,0.0,,,,-0.0422,12,2020,30814.0,37.1,34895,7.68412,15.205616850551653,11978.793523427425,4.078413079113104,CA,25.651239432583466,
105,29698,2020-12-26,Los Angeles,California,6037.0,706712,9438.0,29174.0,,,-0.329,-0.0707,12,2020,29985.0,34.8,9818605,2419.637,15.459782728809236,7197.682359153871,3.857192676894472,CA,56.47200391501643,
106,29993,2020-12-26,Madera,California,6039.0,9770,116.0,223.0,,,-0.262,0.00729,12,2020,23691.0,33.0,150865,70.59435,16.324528552016705,6475.988466509794,3.81130606662,CA,57.41623305604348,
107,30298,2020-12-26,Marin,California,6041.0,9505,136.0,56.0,,,-0.426,-0.0383,12,2020,52866.0,44.5,252409,485.1167,24.34699238141271,3765.7135839054868,3.5758472849690954,CA,18.24657599372447,
