"GEO_ID","NAME","B07011_001E","B07011_001M","B07011_002E","B07011_002M","B07011_003E","B07011_003M","B07011_004E","B07011_004M","B07011_005E","B07011_005M","B07011_006E","B07011_006M"
"id","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"0500000US54033","Harrison County, West Virginia","27547","1205","29124","1374","21733","3444","21907","3559","29583","10589","-","**"
"0500000US54035","Jackson County, West Virginia","26611","1432","26862","1407","18897","11368","25606","14224","-","**","-","**"
"0500000US54037","Jefferson County, West Virginia","34869","1901","35941","2188","27306","5743","16472","5303","36587","9919","-","**"
"0500000US54039","Kanawha County, West Virginia","26777","515","27289","564","21917","2644","20158","6070","19806","3029","26292","6049"
"0500000US54041","Lewis County, West Virginia","23106","1968","24291","1854","15296","2732","19265","5867","-","**","-","**"
"0500000US54043","Lincoln County, West Virginia","23003","1274","23253","1187","14559","5371","-","**","16294","7888","15865","12325"
"0500000US54045","Logan County, West Virginia","22558","1375","23744","1481","17708","5653","11944","6165","-","**","-","**"
"0500000US54047","McDowell County, West Virginia","17088","1426","17123","1446","18370","1673","2,500-","***","16696","15469","-","**"
"0500000US54049","Marion County, West Virginia","26069","1043","27606","1112","21276","2694","13868","2795","10640","2751","21083","11560"
"0500000US54051","Marshall County, West Virginia","25627","951","25631","927","21136","11706","41667","10610","-","**","22024","2505"
"0500000US54053","Mason County, West Virginia","25409","1668","25675","1592","17453","6649","-","**","34087","11547","-","**"
"0500000US54055","Mercer County, West Virginia","22391","1005","23608","1118","16622","1709","9500","5269","15353","2192","-","**"
"0500000US54057","Mineral County, West Virginia","26545","884","26730","954","26692","2370","-","**","-","**","-","**"
"0500000US54059","Mingo County, West Virginia","20956","1207","21704","1266","11855","4503","16705","2349","21607","14218","-","**"
"0500000US54061","Monongalia County, West Virginia","24705","1224","30339","1022","12377","2009","9707","3493","7109","1774","-","**"
"0500000US54063","Monroe County, West Virginia","22752","1916","23004","2084","-","**","20665","10459","27039","15998","-","**"
"0500000US54065","Morgan County, West Virginia","27047","1388","27370","1613","19737","13686","-","**","26341","13182","-","**"
"0500000US54067","Nicholas County, West Virginia","22673","1165","23271","1156","15313","7682","13315","10991","10551","4724","-","**"
"0500000US54069","Ohio County, West Virginia","26881","942","27951","1721","16556","4589","20337","13094","17434","9268","-","**"
"0500000US54071","Pendleton County, West Virginia","22380","1821","22464","2159","22143","14690","25417","10684","20078","6854","-","**"
"0500000US54073","Pleasants County, West Virginia","25660","1732","26904","1694","10977","3330","10434","2910","28375","5513","-","**"
"0500000US54075","Pocahontas County, West Virginia","22409","1028","22908","1215","17083","3349","14375","10059","-","**","-","**"
"0500000US54077","Preston County, West Virginia","25533","985","25749","948","24080","3800","26050","8489","14728","9566","38385","965"
"0500000US54079","Putnam County, West Virginia","32009","818","32176","907","30199","9896","25417","8042","30625","7195","58508","41372"
"0500000US54081","Raleigh County, West Virginia","23997","1061","24788","983","19412","2229","16677","2499","12222","7979","43125","35253"
"0500000US54083","Randolph County, West Virginia","24193","990","24952","941","14268","1660","16613","6656","30116","21623","-","**"
