,fips,emp_combined,merchants_all,spend_all
438,36061,-0.17113677777777772,-0.36358347663551466,-0.20901145687704753
439,36063,-0.09982264137931027,-0.19786465420560737,-0.12330450145142854
440,36065,-0.11460833735632185,-0.14682955140186912,-0.09646722581238103
441,36067,-0.10047104214559378,-0.22717766355140184,-0.09903274603111122
442,36069,-0.07045698544061305,,-0.06605486364850795
443,36071,-0.1593175555555554,-0.29467532710280364,-0.1629294663107619
444,36073,0.0030805095785440715,,
445,36075,-0.12066609195402289,,-0.009826317365619052
446,36077,-0.08906250957854413,-0.27526669781931445,-0.12128954544380947
447,36079,-0.13785778544061295,,-0.11916768277968245
448,36081,-0.1376314842911877,-0.24828716199376932,-0.11018584132980955
449,36083,-0.07839751724137925,,
450,36085,-0.16857782758620693,-0.21112937757009348,-0.15138782518761906
451,36087,-0.09354855938697323,-0.2275319271028033,-0.1270622421802572
452,36091,-0.10050906704980839,-0.3014984423676011,-0.03228374583720637
453,36093,-0.12731798697318014,,-0.03344136516126986
454,36095,-0.09982507624521074,,0.09610609178917455
455,36099,-0.11072604597701147,,
456,36101,-0.14573998199233712,-0.28365526479750774,-0.07126559812984068
457,36103,-0.06714733793103457,-0.25934793457943967,-0.04016060622507934
458,36105,-0.05807411915708809,,-0.17282740422990797
459,36107,-0.1256579655172414,,
460,36109,-0.1603587662835247,,
461,36111,-0.09048486206896549,-0.2796908411214956,-0.040370479293904755
462,36113,-0.014200118773946372,,-0.07127336522857149
463,36115,-0.11156547892720305,,-0.027304095221904773
464,36117,-0.07008590038314179,,-0.11087431756031745
465,36119,-0.12444989272030652,-0.2578457797507793,-0.16475257100698418
466,36121,-0.018500547892720307,,
467,36123,-0.10950150996168573,,-0.08938305039816824
468,37001,-0.06607422222222223,,-0.07142495881143172
469,37021,-0.1458509214559388,-0.3259283177570097,-0.1372287873353334
470,37025,-0.16750143333333334,,-0.11838666652793657
471,37035,-0.11732565134099625,-0.14185693769470403,-0.13915843815457155
472,37037,-0.04185318007662838,,-0.16107173612987302
473,37045,-0.22296663984674336,,0.08124501889111106
474,37049,-0.10777763984674343,,-0.13913011749968254
475,37051,-0.06322733793103444,-0.11407364890965727,0.005269974741492067
476,37057,-0.05919479042145596,,-0.007008606653968259
477,37063,-0.1296181609195402,-0.21010211838006235,-0.13489765111841254
478,37067,-0.09425398467432947,-0.16016172274143295,-0.062051812922857184
479,37069,0.07173287356321839,,0.006942057090444473
480,37071,-0.06825264367816092,-0.08290680311526488,-0.1030348695220317
481,37081,-0.12011266091954015,-0.1604900623052958,-0.07640448436803171
482,37083,-0.053111149425287336,-0.07426186915887846,
483,37085,0.006020008045977012,,-0.030345149322571416
484,37089,-0.11247975977011497,-0.23664676012461064,-0.08743267319904764
485,37097,-0.06831825632183908,-0.13349333146417455,-0.036633107737142886
