,id,median_age,pop,african_american,median_income,area,pop_density
271,08055,55.0,6679,34,23471.0,1591.0,4.197988686360779
272,08057,51.6,1261,0,24571.0,1613.72,0.7814242867411942
273,08059,40.3,574798,6839,41035.0,764.21,752.1466612580311
274,08061,42.5,1489,6,25980.0,1767.77,0.8423041459013333
275,08063,38.3,7447,186,29742.0,2160.82,3.4463768384224505
276,08065,36.7,7751,9,30400.0,376.91,20.564591016423016
277,08067,40.4,55617,276,34074.0,1692.08,32.86901328542386
278,08069,36.0,344786,3387,32905.0,2596.0,132.81432973805855
279,08071,45.9,14266,125,23653.0,4772.67,2.9891025358970973
280,08073,38.0,5585,459,25561.0,2577.63,2.166719040358779
281,08075,38.2,22380,189,27450.0,1838.55,12.172636044709146
282,08077,39.7,151218,1020,28267.0,3328.97,45.4248611432365
283,08079,56.1,824,9,30038.0,875.67,0.9409937533545742
284,08081,36.6,13127,158,30196.0,4743.29,2.767488388860896
285,08083,45.2,26031,72,26901.0,2029.53,12.826122304178801
286,08085,45.2,41686,163,27033.0,2240.7,18.604007676172625
287,08087,36.2,28517,1038,27765.0,1280.43,22.271424443351062
288,08089,39.9,18282,113,21957.0,1261.96,14.48698849408856
289,08091,54.1,4796,15,34906.0,541.59,8.855407226869033
290,08093,50.7,17867,56,32731.0,2193.85,8.144130182099962
291,08095,37.1,4290,9,31635.0,687.93,6.236099603157299
292,08097,41.8,17926,174,42002.0,970.7,18.467085608323888
293,08099,38.3,12022,95,26363.0,1638.4,7.337646484375
294,08101,39.3,165982,3494,25166.0,2386.1,69.56204685470014
295,08103,36.9,6384,30,30251.0,3220.93,1.9820362441903427
296,08105,42.1,11305,106,21787.0,911.96,12.396377034080441
297,08107,40.2,25072,232,37368.0,2362.03,10.614598459799408
298,08109,49.0,6592,33,23863.0,3168.53,2.0804600240490068
299,08111,51.2,589,0,32500.0,387.49,1.5200392268187566
300,08113,41.8,8049,1,36451.0,1286.61,6.255975004080491
301,08115,44.1,2322,19,24202.0,548.04,4.236917013356689
302,08117,39.1,30649,342,36007.0,608.36,50.37970938260241
303,08119,50.0,24524,208,35242.0,557.06,44.02398305389007
304,08121,41.6,4868,63,28315.0,2518.03,1.9332573480061792
305,08123,34.4,305345,3643,34305.0,3987.24,76.58054192875272
306,08125,37.8,10003,112,30905.0,2364.41,4.23065373602717
307,09001,40.6,943926,109186,40609.0,624.89,1510.547456352318
308,09003,40.4,893561,123117,37985.0,735.1,1215.5638688613794
309,09005,47.3,182002,3165,39166.0,920.56,197.70791692013557
310,09007,45.7,163053,9119,42907.0,369.3,441.519090170593
311,09009,40.3,857513,115837,35721.0,604.51,1418.525748126582
312,09011,41.4,267390,15537,35785.0,664.88,402.16279629406813
313,09013,37.7,151063,4806,37303.0,410.21,368.25772165476224
314,09015,41.2,116566,2649,32078.0,512.91,227.2640424245969
315,10001,37.7,176699,45424,30327.0,586.18,301.4415367293323
316,10003,38.4,556165,139960,36458.0,426.29,1304.6634919890214
317,10005,49.6,224384,26918,31752.0,936.08,239.7060080335014
318,11001,34.0,692683,320811,49542.0,61.05,11346.158886158886
319,12001,31.6,265443,53278,25648.0,875.02,303.35649470869237
320,12003,37.7,28211,3824,28349.0,585.23,48.2049792389317
321,12005,39.8,182161,20057,27495.0,758.46,240.17219101864302
322,12007,39.7,27317,5544,24309.0,293.96,92.92760919853042
323,12009,47.3,585507,56493,28542.0,1015.66,576.4793336352717
324,12011,40.4,1926205,551097,30277.0,1209.79,1592.181287661495
325,12013,41.6,14362,1904,23568.0,567.33,25.31507235647683
326,12015,59.1,181067,10113,26006.0,680.28,266.1654024813312
327,12017,56.5,145169,4288,24413.0,581.7,249.55991060684198
328,12019,39.7,211405,23291,32036.0,604.36,349.7997882057052
329,12021,50.8,371453,25404,31213.0,1998.32,185.8826414187918
330,12023,40.4,69968,12653,25790.0,797.57,87.72646915004326
331,12027,40.9,36903,4634,21509.0,637.06,57.92703983926161
332,12029,46.5,16589,1474,22643.0,705.05,23.528827742713283
333,12031,36.2,936186,277195,30608.0,762.19,1228.2842860704022
334,12033,37.2,313491,68733,26946.0,656.46,477.5477561466045
335,12035,51.3,109801,11010,26821.0,485.46,226.179293865612
336,12037,46.4,11811,1664,24823.0,534.73,22.0877826192658
337,12039,40.8,45945,25786,25734.0,516.33,88.98378943698796
338,12041,42.1,17953,1052,22882.0,349.68,51.34122626401281
339,12043,47.9,13516,1819,21698.0,806.01,16.769022716839743
340,12045,44.9,15576,2673,26523.0,564.01,27.616531621779757
341,12047,40.9,14326,4949,20544.0,513.79,27.88298721267444
342,12049,35.4,27131,2051,21744.0,637.78,42.53974724826743
343,12051,34.0,40732,4688,21225.0,1152.75,35.3346345695077
344,12053,49.0,186313,9946,25217.0,472.54,394.27984932492484
345,12055,53.5,103437,9987,22059.0,1016.62,101.74598178277036
346,12057,37.2,1422278,239119,30363.0,1020.21,1394.1031748365533
347,12059,42.7,19432,1356,21699.0,478.78,40.58649066377042
348,12061,53.5,153989,13633,27382.0,502.87,306.22029550380813
349,12063,41.7,47945,12859,23053.0,917.76,52.24132670850767
350,12065,48.0,14161,4894,27978.0,598.1,23.676642701889314
351,12067,37.3,8637,1394,21923.0,543.41,15.894076295982776
352,12069,46.9,345867,37766,27221.0,938.38,368.57882734073615
353,12071,48.5,737468,63282,28529.0,784.51,940.0364558769168
354,12073,31.0,289770,89536,27751.0,666.85,434.5355027367474
355,12075,46.9,40403,3541,21676.0,1118.21,36.13185358742991
356,12077,40.7,8345,1320,21920.0,835.56,9.987313897266505
357,12079,43.5,18460,7128,21243.0,695.95,26.524894029743514
358,12081,48.3,384213,33462,29551.0,742.93,517.1590863203802
359,12083,48.7,353526,45754,24501.0,1584.55,223.10813795714873
360,12085,52.2,159065,9006,30801.0,543.46,292.68943436499467
361,12086,39.9,2699428,469202,24787.0,1897.72,1422.4585291823873
362,12087,47.7,75798,5545,35539.0,983.28,77.08689284842568
363,12089,45.3,83098,5031,31965.0,648.64,128.11112481499754
364,12091,36.9,203794,20032,31212.0,930.25,219.07444235420587
365,12093,41.1,41144,3414,22631.0,768.91,53.50951346711579
366,12095,35.1,1349746,282677,28064.0,903.43,1494.0238867427472
367,12097,35.9,351955,40336,23483.0,1327.45,265.1361633206524
368,12099,44.8,1465027,273384,30762.0,1969.76,743.759138169117
369,12101,44.5,524602,30221,27455.0,746.89,702.3818768493353
370,12103,48.1,964666,98942,30009.0,273.8,3523.250547845142
371,12105,40.2,686218,104676,26032.0,1797.84,381.6902505228497
372,12107,45.1,73252,11922,21486.0,727.62,100.67342843792089
373,12109,43.7,244674,13224,36462.0,600.66,407.34192388372793
374,12111,45.1,312947,63087,26425.0,571.93,547.1771020929135
375,12113,39.9,174755,10858,31273.0,1011.61,172.74937970166368
376,12115,56.1,419496,19002,31707.0,555.87,754.6656592368719
377,12117,39.2,461402,55186,32734.0,309.22,1492.1479852532177
378,12119,67.4,125044,8818,27579.0,546.93,228.62889217998648
379,12121,43.3,44046,5683,22987.0,688.55,63.96921066008279
380,12123,42.0,21870,4397,21515.0,1043.31,20.962130143485638
381,12125,39.3,15303,3359,23031.0,243.56,62.830514041714565
382,12127,46.6,536487,58584,26792.0,1101.03,487.2592027465192
383,12129,40.6,32321,4874,31163.0,606.42,53.29804425975397
384,12131,44.0,68262,3156,28513.0,1037.63,65.7864556730241
385,12133,41.5,24764,3764,21452.0,582.8,42.49142072752231
386,13001,40.3,18440,3561,22607.0,507.08,36.36507060029976
387,13003,36.4,8239,1444,22097.0,339.38,24.276622075549533
388,13005,36.7,11201,1701,22385.0,258.58,43.31734859617914
389,13007,46.1,3132,1244,25164.0,341.94,9.159501666959116
390,13009,35.5,45111,19102,22750.0,257.84,174.95733788395907
391,13011,41.1,18708,486,21895.0,232.09,80.60666120901374
392,13013,35.7,78991,9340,28741.0,160.31,492.7390680556422
393,13015,38.1,104919,10931,29584.0,459.54,228.31309570440004
394,13017,39.9,17033,6236,20795.0,250.12,68.09931233008156
